id,company,title,sentiment,Predicted Sentiment Score
2,Morrisons,Morrisons book second consecutive quarter of sales growth,0.43,0.4645425081253052
3,IMI,IMI posts drop in first-quarter organic revenue; warns on full year,-0.344,-0.2551182806491852
4,Glencore,"Glencore to refinance its short-term debt early, shares rise",0.34,0.9788708686828613
5,Ryanair,EasyJet attracts more passengers in June but still lags Ryanair,0.259,0.7344578504562378
6,Barclays,Barclays 'bad bank' chief to step down,-0.231,-0.10905686020851135
7,BP,Bilfinger Industrial Services win Â£100m BP contract extension,0.113,0.6744017004966736
8,Bilfinger Industrial Services,Bilfinger Industrial Services win Â£100m BP contract extension,0.424,0.744840681552887
9,Barclays,Barclays share price subdued as bank faces fresh forex probe,-0.373,-0.09902902692556381
10,Centrica PLC,Centrica prepared for takeover approach - chairman,0.111,0.9572068452835083
11,Glencore,Jim Armitage: Spare no tears as Glencore's bosses are paying such a small price,-0.231,0.18809182941913605
12,Barclays,"Barclays, Deutsche Bank Fight to Lift Profit Just Got Harder",-0.221,0.8401175737380981
13,Kingfisher,Kingfisher set to open another 200 Screwfix stores,0.541,0.6192888021469116
14,Diageo,Diageo sales disappoint as currency and comparatives leave bitter taste,-0.545,0.29255416989326477
15,Smith & Nephew,Smith & Nephew recalls hip-replacement components,-0.522,0.44117918610572815
16,Tesco PLC,Tesco is torn apart as watchdog finds supermarket repeatedly withheld payments from suppliers,-0.775,0.4075891673564911
17,Legal & General Group Plc,Is Trouble Brewing At Legal & General Group Plc And Aviva plc?,-0.271,0.5218753814697266
18,Tesco PLC,Here's my 10-point plan to make Tesco great again,0.09,0.29755309224128723
19,Schroders,"Schroders posts FY profit beat, replaces CEO and chairman in board shake-up",0.052,0.9014784693717957
20,BP,BP Seeks to Get Back Some Gulf Oil Spill Business Payouts,0.181,0.9952776432037354
21,Standard Chartered PLC,"Can Standard Chartered PLC, BP plc & Burberry Group plc Keep Charging?",0.0,0.8601858019828796
22,BP,"UPDATE 1-BP reports worst annual loss in at least 20 years, cuts more jobs",-0.989,-0.4393463134765625
23,Friends Life,Insurers: Admiral blows hot and cold but Aviva soars pre-Friends Life merger,0.053,0.9947247505187988
24,L&G,"L&G still paying price for dividend cut during crisis, chief says",-0.338,0.14485251903533936
25,Admiral,Insurers: Admiral blows hot and cold but Aviva soars pre-Friends Life merger,0.314,0.9754469990730286
26,Whitbread,"Whitbread eyes savings, price rises to offset wage rises",0.139,0.9403433799743652
27,Kingfisher,Britain's FTSE lifted by solid Kingfisher,0.653,0.7399391531944275
28,Novo Nordisk,Novo Nordisk and AstraZeneca seek tonic from key drug trials,0.099,0.9655130505561829
29,Mr Bricolage,Kingfisher takeover of Mr Bricolage could hit a brick wall,-0.311,0.1417308896780014
30,BP,BP wins right to appeal some Gulf spill damages claims,0.236,0.8915595412254333
31,Dixons Carphone,Dixons Carphone profit boost on strong sales,0.478,0.9181533455848694
32,Sky,UK MORNING BRIEFING: Sky And Hargreaves Lansdown Bookend FTSE 100,0.128,0.5690725445747375
33,Johnson Matthey,Johnson Matthey profit lifted by metals unit sale,0.407,0.9471121430397034
34,Credit Suisse,"Barclays, Credit Suisse strike record deals with SEC, NY over dark pools",-0.902,0.2611321806907654
35,Shire,UPDATE 1-Shire takes Q2 earnings pain for long-term gain,-0.174,0.43295159935951233
36,Shire,Drugmaker Shire to buy Baxalta for $32 billion after 6-month pursuit,0.437,0.9653717279434204
37,Standard Chartered PLC,Standard Chartered considering move from UK,0.166,0.6269128322601318
38,Kirin,Philippines' San Miguel says to partner with Kirin if it bids for SABMiller's ...,0.24,0.48996201157569885
39,Shell,US cancels Arctic offshore lease sale after Shell drops interest,-0.019,-0.1021583303809166
40,Baxalta,Shire CEO steps up drive to get Baxalta board talking,0.203,0.999854564666748
41,BP,UPDATE 1-Oil major BP freezes pay in 2015 to cut costs,-0.2,-0.16342715919017792
42,Vale,Brazil Vale says will appeal ruling to block assets for dam burst,-0.131,0.4412522614002228
43,BHP Billiton,"BHP Billiton posts big loss, slashes dividend",-0.938,-0.39073729515075684
44,Glencore,Reaching New Depths: Glencore's $5bn Loss,-0.913,0.08867717534303665
4,EasyJet,UPDATE 2-EasyJet sees better first half on lower fuel bill,0.778,0.9896726012229919
46,Royal Mail,Britain's FTSE advances as Royal Mail rises,0.476,0.8694870471954346
47,Haris & Hoole,CompaniesTesco sheds Harris & Hoole coffee shops,0.3,0.44117918610572815
48,Standard Chartered PLC,News FeedFTSE 100 movers: Standard Chartered lifted while AstraZeneca sinks,0.509,0.8554511070251465
49,Citigroup,Fitch: Citi's 1Q'15 Reports Much Improved Results,0.378,0.7660602927207947
50,Hammerson,Landlord Hammerson's NAV rises on increased leasing activity,0.659,0.8150402903556824
51,Metro Bank,CompaniesMetro Bank raises Â£400m ahead of London listing,0.296,0.9709796905517578
52,Morrisons,New Morrisons duo get former boss's support to diffuse investor tension,0.143,0.9898549318313599
53,WPP,WPP Q1 Revenue Rises Over 8% - Quick Facts,0.668,0.9986551403999329
54,Barclays,Barclays raises 603 million pounds from African business share sale,0.309,0.9320600032806396
55,AXA,REFILE-Aviva Investors to move 34 bln euros in assets from AXA fund arm,-0.398,0.9044075608253479
56,Royal Bank of Scotland Group plc,Dividends Unleashed At Royal Bank of Scotland Group plc,0.425,0.9587602615356445
57,Standard Chartered PLC,"Irish Said Chasing Standard Chartered, RBS as Brexit Vote Nears",0.128,0.6433670520782471
58,BP,"EXCLUSIVE-BP, China's CNPC to unveil oil alliance - sources",0.326,0.597584068775177
59,Royal Bank of Scotland Group plc,RBS and Barclays shares temporarily suspended amid heavily losses,-0.941,0.12090132385492325
60,BP,BP sees Q1 earnings slide as low oil prices take their toll,-0.376,-0.09112100303173065
61,Johnson Matthey,Johnson Matthey revs up on clean air drive,0.224,0.8966022729873657
62,Tesco PLC,Tesco boss urges rethink on minimum wage and business rates,0.173,0.5017877817153931
63,Tesco PLC,Is It Worth Investing In Tesco PLC And Prudential plc Now?,0.161,0.9863619208335876
64,Royal Bank of Scotland Group plc,RBS will reportedly appoint Howard Davies as its next chairman,0.089,0.8484392166137695
65,Shell,UPDATE 1-Seattle flotilla protests Shell's Arctic drilling plans,-0.338,-0.11096936464309692
66,Petrofac,Petrofac books further Â£30m cost for Shetland gas terminal delays,-0.343,0.17446662485599518
67,G4S,G4S suspends workers at UK youth centre over allegations of unnecessary force,-0.323,0.4425038695335388
68,BAE Systems,TalkTalk hires BAE Systems to investigate cyber attack,0.217,0.9360836148262024
69,Lloyds Banking Group PLC,Osborne extends Lloyds sell-off plan,-0.311,-0.026033926755189896
70,Dairy Crest,UPDATE 1-Dairy Crest loses a third of Morrisons milk contract,-0.902,0.2340889722108841
71,Dixons Carphone,CompaniesLord Livingston joins Dixons Carphone,0.364,0.7215436100959778
72,Deloitte,Tesco names Deloitte as new auditor after accounting scandal,0.26,0.9442930221557617
73,Barclays,World's banks may halve jobs and branches within 10 years - Barclays ex-boss,-0.521,0.06992287933826447
74,Severn Trent,Severn Trent share price rises as first half profit inches up as customer ...,0.526,0.9784138798713684
75,Clinigen,Clinigen chosen by AstraZeneca to manage access programme for next ...,0.328,0.9709853529930115
76,Valeant Pharmaceuticals International,Valeant's Pearson says timing of return uncertain,-0.044,0.7470827698707581
77,Aviva plc,Aviva suspends trading in Â£1.8bn UK property fund,-0.78,-0.0010745651088654995
78,Horizonte,Horizonte acquires neighbouring Glencore nickel property in Brazil,0.182,0.8875330686569214
79,Johnston Press,Indy future in doubt as Johnston Press lines up deal for 'i',0.155,0.566213846206665
80,Desano,Glaxo's ViiV Healthcare Signs China Manufacturing Deal With Desano,0.277,0.9457818865776062
81,BHP Billiton,"BHP Billiton half-year profit falls, beats forecasts",0.082,0.9460808038711548
82,Royal Dutch Shell,Royal Dutch Shell to Buy BG Group for Nearly $70 Billion,0.259,0.9931489825248718
83,Barclays,Barclays to speed up cost-cuts after new mis-selling hit,-0.25,0.4440683424472809
84,UBI,"CEOs of BPM, UBI meet Italy econ minister as M&A talk heats up",0.133,0.9686711430549622
85,HSBC,HSBC Hit by Fresh Details of Tax Evasion Claims,-0.594,-0.3615114092826843
86,BPI,"CaixaBank, dos Santos Agree on Plan for BPI Angola Exposure",-0.092,0.2732870578765869
87,BPI,"BPI Says Caixabank, Isabel dos Santos Reach Agreement Over Angola Exposure",0.221,0.7386177778244019
88,Wolseley,Wolseley says Nicholls won't join as finance chief,-0.087,0.37217867374420166
89,Royal Mail,UK lawmakers warn Royal Mail against further price hikes,-0.164,0.014961781911551952
90,Standard Chartered PLC,StanChart and RBS struggle in Bank of England stress tests,-0.39,0.18299821019172668
91,Standard Chartered PLC,StanChart may see white knight takeover on painful recovery - CLSA,-0.155,0.1076013520359993
92,AstraZeneca,AstraZeneca suffers setback after drug fails to treat eye cancer,-0.392,0.6056378483772278
