,company,id,sentiment,title,Predicted Sentiment Score
0,Morrisons,2,0.43,Morrisons book second consecutive quarter of sales growth,0.9997333288192749
1,IMI,3,-0.344,IMI posts drop in first-quarter organic revenue; warns on full year,-0.29070669412612915
2,Glencore,4,0.34,"Glencore to refinance its short-term debt early, shares rise",0.9998911023139954
3,Ryanair,5,0.259,EasyJet attracts more passengers in June but still lags Ryanair,0.9998769164085388
4,Barclays,6,-0.231,Barclays 'bad bank' chief to step down,-0.4905897378921509
5,BP,7,0.113,Bilfinger Industrial Services win Ã‚Â£100m BP contract extension,0.9999489188194275
6,Bilfinger Industrial Services,8,0.424,Bilfinger Industrial Services win Ã‚Â£100m BP contract extension,0.9999489188194275
7,Barclays,9,-0.373,Barclays share price subdued as bank faces fresh forex probe,-0.6229758262634277
8,Centrica PLC,10,0.111,Centrica prepared for takeover approach - chairman,0.9998428225517273
9,Glencore,11,-0.231,Jim Armitage: Spare no tears as Glencore's bosses are paying such a small price,-0.28651756048202515
10,Barclays,12,-0.221,"Barclays, Deutsche Bank Fight to Lift Profit Just Got Harder",-0.3273636996746063
11,Kingfisher,13,0.541,Kingfisher set to open another 200 Screwfix stores,0.9998296499252319
12,Diageo,14,-0.545,Diageo sales disappoint as currency and comparatives leave bitter taste,-0.4097055196762085
13,Smith & Nephew,15,-0.522,Smith & Nephew recalls hip-replacement components,-0.4677901268005371
14,Tesco PLC,16,-0.775,Tesco is torn apart as watchdog finds supermarket repeatedly withheld payments from suppliers,-0.4261222779750824
15,Legal & General Group Plc,17,-0.271,Is Trouble Brewing At Legal & General Group Plc And Aviva plc?,-0.2755163609981537
16,Tesco PLC,18,0.09,Here's my 10-point plan to make Tesco great again,0.9999139904975891
17,Schroders,19,0.052,"Schroders posts FY profit beat, replaces CEO and chairman in board shake-up",0.9999502301216125
18,BP,20,0.181,BP Seeks to Get Back Some Gulf Oil Spill Business Payouts,0.9997318983078003
19,Standard Chartered PLC,21,0.0,"Can Standard Chartered PLC, BP plc & Burberry Group plc Keep Charging?",0.9999167919158936
20,BP,22,-0.989,"UPDATE 1-BP reports worst annual loss in at least 20 years, cuts more jobs",-0.5958768129348755
21,Friends Life,23,0.053,Insurers: Admiral blows hot and cold but Aviva soars pre-Friends Life merger,0.9999592900276184
22,L&G,24,-0.338,"L&G still paying price for dividend cut during crisis, chief says",-0.46242237091064453
23,Admiral,25,0.314,Insurers: Admiral blows hot and cold but Aviva soars pre-Friends Life merger,0.9999592900276184
24,Whitbread,26,0.139,"Whitbread eyes savings, price rises to offset wage rises",0.9994965195655823
25,Kingfisher,27,0.653,Britain's FTSE lifted by solid Kingfisher,0.9995614886283875
26,Novo Nordisk,28,0.099,Novo Nordisk and AstraZeneca seek tonic from key drug trials,0.9999367594718933
27,Mr Bricolage,29,-0.311,Kingfisher takeover of Mr Bricolage could hit a brick wall,-0.6041881442070007
28,BP,30,0.236,BP wins right to appeal some Gulf spill damages claims,0.9997661709785461
29,Dixons Carphone,31,0.478,Dixons Carphone profit boost on strong sales,0.9998891353607178
30,Sky,32,0.128,UK MORNING BRIEFING: Sky And Hargreaves Lansdown Bookend FTSE 100,0.5935900211334229
31,Johnson Matthey,33,0.407,Johnson Matthey profit lifted by metals unit sale,0.9987363219261169
32,Credit Suisse,34,-0.902,"Barclays, Credit Suisse strike record deals with SEC, NY over dark pools",-0.4436648488044739
33,Shire,35,-0.174,UPDATE 1-Shire takes Q2 earnings pain for long-term gain,-0.3549136221408844
34,Shire,36,0.437,Drugmaker Shire to buy Baxalta for $32 billion after 6-month pursuit,0.9999545812606812
35,Standard Chartered PLC,37,0.166,Standard Chartered considering move from UK,0.9965051412582397
36,Kirin,38,0.24,Philippines' San Miguel says to partner with Kirin if it bids for SABMiller's ...,0.9999324679374695
37,Shell,39,-0.019,US cancels Arctic offshore lease sale after Shell drops interest,-0.15165409445762634
38,Baxalta,40,0.203,Shire CEO steps up drive to get Baxalta board talking,0.9999672770500183
39,BP,41,-0.2,UPDATE 1-Oil major BP freezes pay in 2015 to cut costs,-0.3559899628162384
40,Vale,42,-0.131,Brazil Vale says will appeal ruling to block assets for dam burst,-0.4273652732372284
41,BHP Billiton,43,-0.938,"BHP Billiton posts big loss, slashes dividend",-0.6536104679107666
42,Glencore,44,-0.913,Reaching New Depths: Glencore's $5bn Loss,-0.5159928798675537
43,EasyJet,4,0.778,UPDATE 2-EasyJet sees better first half on lower fuel bill,0.9998494386672974
44,Royal Mail,46,0.476,Britain's FTSE advances as Royal Mail rises,0.9994959235191345
45,Haris & Hoole,47,0.3,CompaniesTesco sheds Harris & Hoole coffee shops,0.9994641542434692
46,Standard Chartered PLC,48,0.509,News FeedFTSE 100 movers: Standard Chartered lifted while AstraZeneca sinks,0.4952985644340515
47,Citigroup,49,0.378,Fitch: Citi's 1Q'15 Reports Much Improved Results,0.9999356865882874
48,Hammerson,50,0.659,Landlord Hammerson's NAV rises on increased leasing activity,0.9999470114707947
49,Metro Bank,51,0.296,CompaniesMetro Bank raises Ã‚Â£400m ahead of London listing,0.9999103546142578
50,Morrisons,52,0.143,New Morrisons duo get former boss's support to diffuse investor tension,0.9999346733093262
51,WPP,53,0.668,WPP Q1 Revenue Rises Over 8% - Quick Facts,0.9998759627342224
52,Barclays,54,0.309,Barclays raises 603 million pounds from African business share sale,0.999847948551178
53,AXA,55,-0.398,REFILE-Aviva Investors to move 34 bln euros in assets from AXA fund arm,0.5167571902275085
54,Royal Bank of Scotland Group plc,56,0.425,Dividends Unleashed At Royal Bank of Scotland Group plc,0.9992340803146362
55,Standard Chartered PLC,57,0.128,"Irish Said Chasing Standard Chartered, RBS as Brexit Vote Nears",0.9997445940971375
56,BP,58,0.326,"EXCLUSIVE-BP, China's CNPC to unveil oil alliance - sources",0.999855637550354
57,Royal Bank of Scotland Group plc,59,-0.941,RBS and Barclays shares temporarily suspended amid heavily losses,-0.386848509311676
58,BP,60,-0.376,BP sees Q1 earnings slide as low oil prices take their toll,-0.5926942825317383
59,Johnson Matthey,61,0.224,Johnson Matthey revs up on clean air drive,0.9998254776000977
60,Tesco PLC,62,0.173,Tesco boss urges rethink on minimum wage and business rates,0.9996805191040039
61,Tesco PLC,63,0.161,Is It Worth Investing In Tesco PLC And Prudential plc Now?,0.9999253749847412
62,Royal Bank of Scotland Group plc,64,0.089,RBS will reportedly appoint Howard Davies as its next chairman,0.9999630451202393
63,Shell,65,-0.338,UPDATE 1-Seattle flotilla protests Shell's Arctic drilling plans,-0.631320059299469
64,Petrofac,66,-0.343,Petrofac books further Ã‚Â£30m cost for Shetland gas terminal delays,-0.48536890745162964
65,G4S,67,-0.323,G4S suspends workers at UK youth centre over allegations of unnecessary force,-0.510313868522644
66,BAE Systems,68,0.217,TalkTalk hires BAE Systems to investigate cyber attack,0.9999222159385681
67,Lloyds Banking Group PLC,69,-0.311,Osborne extends Lloyds sell-off plan,-0.41404151916503906
68,Dairy Crest,70,-0.902,UPDATE 1-Dairy Crest loses a third of Morrisons milk contract,-0.5291270613670349
69,Dixons Carphone,71,0.364,CompaniesLord Livingston joins Dixons Carphone,0.9998626112937927
70,Deloitte,72,0.26,Tesco names Deloitte as new auditor after accounting scandal,0.9998877644538879
71,Barclays,73,-0.521,World's banks may halve jobs and branches within 10 years - Barclays ex-boss,-0.3021092712879181
72,Severn Trent,74,0.526,Severn Trent share price rises as first half profit inches up as customer ...,0.9999108910560608
73,Clinigen,75,0.328,Clinigen chosen by AstraZeneca to manage access programme for next ...,0.999941885471344
74,Valeant Pharmaceuticals International,76,-0.044,Valeant's Pearson says timing of return uncertain,-0.2230631560087204
75,Aviva plc,77,-0.78,Aviva suspends trading in Ã‚Â£1.8bn UK property fund,-0.3908998370170593
76,Horizonte,78,0.182,Horizonte acquires neighbouring Glencore nickel property in Brazil,0.9998915791511536
