id,company,title,Predicted Sentiment Score
1144,Ashtead,"Ashtead to buy back shares, full-year profit beats estimates",0.9997264742851257
1145,Shell,EU regulators clear Shell's takeover of BG Group,0.9939101338386536
1146,Prudential,UK's FTSE has worst day so far in 2015 as BG and Prudential fall,-0.21698880195617676
1147,GlaxoSmithKline,GlaxoSmithKline acquires HIV assets,0.930235743522644
1148,Barclays,Barclays faces another heavy forex fine,-0.2910093069076538
1149,Diageo,Diageo Shares Surge on Report of Possible Takeover by Lemann,0.8849146962165833
1150,Borealis Infrastructure,Borealis Infrastructure putting together new Severn Trent bid,0.7750759124755859
1151,Burberry Group plc,"FTSE 100 falls as China devaluation hits Burberry, mining stocks",0.8211925029754639
1152,Deutsche Boerse,London Stock Exchange – Deutsche Boerse merger under threat from Brexit,0.3077927231788635
1153,Tesco PLC,Tesco Abandons Video-Streaming Ambitions in Blinkbox Sale,0.4568140506744385
1154,AstraZeneca,UPDATE 1-AstraZeneca sells rare cancer drug to Sanofi for up to $300 mln,0.9950392246246338
1155,Shire,"Homebuilders, Shire Gains Spur FTSE 100 to Rally Beyond Record",0.8017724752426147
1156,Royal Mail,CompaniesRoyal Mail adds a penny to stamp prices,0.6991899609565735
1157,Royal Mail,Royal Mail shares fall as Ofcom publishes discussion document,-0.0005132219521328807
1158,ITV,ITV backs Carl Frampton to revive the glory days,0.6231603026390076
1159,AdeS,The Coca-Cola Company and Coca-Cola FEMSA to Acquire AdeS Soy-Based Beverage Business From Unilever,0.9849050045013428
1160,Barclays,Ex-Barclays Trader in Libor Case Says Boss Hit Him With Bat,-0.176736518740654
1161,Morrisons,Morrisons warns of long road to recovery after profit plunge,-0.060700323432683945
1162,Hargreaves Lansdown,Hargreaves Lansdown posts record inflows in 4 mths to end-April,-0.04820782691240311
1163,MOVANTIK,AstraZeneca And Daiichi Sankyo To Jointly Commercialise MOVANTIK In The US,0.9936095476150513
1164,EasyJet,EasyJet Passenger Numbers And Load Factor Improve In March,0.6242274641990662
1165,WPP,WPP wins race for 'programmatic buying' agency Essence Digital,0.8995541930198669
1166,Old Mutual,Old Mutual nears deal to sell US business,0.6730055212974548
1167,Travis Perkins,UK builders' merchant Travis Perkins reports strong start to year,0.9876235127449036
1168,AstraZeneca,Clinigen chosen by AstraZeneca to manage access programme for next ...,0.8428651094436646
1169,Glencore,CompaniesGlencore shares hit 3-month high after refinancing key credit line,0.8719742894172668
1170,Acerta,AstraZeneca weighing up Acerta bid to secure blood cancer drug,0.9990785121917725
1171,Associated British Foods,Associated British Foods raises guidance as sterling wilts,0.5469247698783875
1172,Pearson Jones,Standard Life share price: Insurer buys advice firm Pearson Jones,0.8172998428344727
1173,Bunzl,Bunzl Lifts Dividend Again As Acquisitions Continue To Boost Profits,0.9916764497756958
1174,Goldman Sachs,"Goldman Sachs, Barclays, HSBC downplay Brexit threat",0.6027935743331909
1175,Morrisons,CompaniesMorrison evicted from FTSE 100 as Worldpay joins,0.786831259727478
1176,Royal Mail,"Royal Mail ""breached competition law"" over delivery service changes, Ofcom claims",0.16210006177425385
1177,Rolls-Royce,Rolls-Royce Holdings To Reduce 600 Employees In Its Marine Business,0.8045769333839417
1178,HSBC,UK stocks fall as HSBC overhaul fails to impress,0.36170074343681335
1179,Royal Bank of Scotland Group plc,"RBS Investment Bank to Return to Profit After Overhaul, CEO Says",0.5567001700401306
1180,ZS Pharma,AstraZeneca Acquires ZS Pharma in $2.7 Billion Deal,0.999406635761261
1181,HSBC,HSBC money laundering report's release delayed amid US appeal,0.31720632314682007
