ID,Spans,Cashtag,Sentiment Score,Predicted Sentiment Score
719659409228451840,watching for bounce tomorrow,$fb,0.366,0.9926370978355408
719904304207962112,record number of passengers served in 2015,$luv,0.638,0.9999879598617554
5329774,out $nflx -.35,$nflx,-0.494,-0.4852280914783478
719891468173844480,looking for a strong bounce,$dia,0.46,0.9978443384170532
20091246,very intrigued with the technology and growth potential,$plug,0.403,0.9999798536300659
5819749,short worked,$gmcr,0.0,-0.6506060361862183
709741154393133056,overbought,$ibm,-0.296,-0.7324338555335999
17892972,absolute garbage still up,$josb,-0.546,-0.43040817975997925
709834259687710720,biggest market losers,$cstm,-0.438,-0.7855315804481506
708481442079068160,love this company long time.,$pypl,0.408,0.9886823892593384
31971935,$goog $googl would suck,$googl,-0.398,-0.5184977650642395
710187873492983809,who won't pay anymore,$endp,-0.349,-0.7207595705986023
13915103,no edge offered,$xli,0.025,0.9983200430870056
10448993,runs into the 50sma on the acquisition news,$pcln,0.486,0.9992383122444153
24886266,t can't go down,$aa,0.308,0.9968868494033813
12793642,now seems like its helping the downtrend,$aapl,-0.372,-0.5226833820343018
9408369,mastered their supply chain,$aapl,0.461,0.9994669556617737
719909604654624768,most bullish stocks on twitter during this dip,$gold,0.408,0.9999648332595825
9674584,big dumping,$amd,-0.699,-0.28177669644355774
10041008,trade continuing very nicely from yesterday,$spy,0.495,0.9989572763442993
20249627,in from 3.61,$idra,0.306,0.9819384813308716
39047349,stochastic overbought,$asmb,-0.385,-0.8517324328422546
711907079296933888,unusual call buying,$rht,0.336,0.9999939799308777
5364581,reserves are in decline,$chk,0.279,0.9995172023773193
25816362,"all on a longer-term, technical swing long basis.",$celg,0.591,0.9999994039535522
708960045799759872,insiders are selling,$cbpo,-0.351,0.03210160508751869
719521470175522816,what goes up...,$tsla,-0.514,-0.274226576089859
719572690453934080,if $249.84 breaks we see $245 then $240,$tsla,-0.519,-0.6855540871620178
33458939,let's see a big bounce,$bbry,0.361,0.9725801944732666
719547428924481536,i don't think it will move $fb in the short term,$fb,-0.042,-0.6832806468009949
17792722,above 2.25 and it could get going?,$nvtl,0.26,0.9722740054130554
719530296585027584,hold,$pcln,0.099,0.9628859758377075
719528411430051840,may feed off $tsla momentum run lately.,$kndi,0.359,0.9987476468086243
17792845,possible double bottom set up,$gdx,0.29,0.9911582469940186
5468109,trading at all-time high,$isrg,0.887,0.9940476417541504
36616915,if positive outcome w/ lung study5/8 we may see a 13d filing by soros,$vltc,0.33,0.9999942779541016
12288299,put the chum out there at key support then next level down,$uvxy,-0.32,-0.5368878841400146
719574528637202432,"#tesla: great company, bad #stock $tsla",$gm,-0.065,-0.3102959990501404
24394588,good idea buy half this and half bac?,$c,0.329,0.9998749494552612
26919572,alibaba ipo hoopla can’t hide risk of chinese stocks,$baba,-0.39,-0.2821911573410034
25816362,"all on a longer-term, technical swing long basis.",$amtd,0.591,0.9999994039535522
719533714296934400,on the fence with this one,$sbux,0.0,-0.5925707221031189
719574902211264512,stay long apple,$aapl,0.337,0.9969945549964905
13451804,looks like drought conditions in soil already,$zc_f,-0.122,-0.24294672906398773
710863854381563904,unusual call activity,$xop,0.332,0.9999945759773254
719507659741872128,$mdxg,$mdxg,-0.402,-0.3743946850299835
709834259687710720,biggest market losers,$endp,-0.438,-0.7855315804481506
719524411489976320,hip sinking?,$fb,-0.411,-0.5115695595741272
17966501,can't imagine shorts wanting to go into the weekend without taking care of their position,$gale,0.36,0.9999731183052063
19339823,nice volume,$vrs,0.113,0.8975533246994019
29960476,$simo basing nice,$simo,0.408,0.9995880722999573
15261933,big money is pouring into facebook from all directions,$fb,0.645,0.9988203048706055
709458685173563392,placed an order to sell 5 shares,$aapl,-0.379,-0.29439011216163635
719940341294571520,go $fb go,$fb,0.302,0.9682171940803528
6789490,out $bidu for now,$bidu,-0.221,-0.497759610414505
709779449663721472,short setups looking nice....really nice,$al,-0.464,-0.21919786930084229
6069381,defying the downturn,$mar,0.407,0.9991801381111145
19158924,but man this is one to be careful with,$psdv,-0.291,-0.609171986579895
719520125582503936,downgrade,$pcar,-0.463,-0.7160800099372864
719883838059446272,short $tsla calls,$tsla,-0.618,-0.21303880214691162
719631931214839808,was looking for a long entry but today's price action wasn't appealing,$endp,0.215,0.9991317391395569
30667508,"just follow the trend, follow the money flow",$ng,0.165,0.999133288860321
7569377,tapping on 10.00,$dang,0.224,0.995806097984314
26890071,will re-enter short on bounce..,$gtat,-0.46,-0.18734164535999298
28165236,found some good bull setups this week,$xrs,0.448,0.9982895851135254
11781180,all going down,$rimm,-0.559,-0.02611275017261505
30161946,so volatile!,$uvxy,-0.131,-0.28341710567474365
27914585,sold my 81 calls,$mnkd,0.328,0.49185633659362793
719682732712968192,i'm watching(and buy targets),$lvs,0.344,0.9987263083457947
710244676826169344,beats the estimize eps consensus by 6c and the estimize revenue consensus by,$ctrp,0.366,0.9999338388442993
27488462,short percent of float 16.80%,$hov,-0.16,-0.42166656255722046
16345651,,$fb,-0.373,0.6807000637054443
5588045,add to $fxp $skf positions,$fxp,0.5,0.998805820941925
709389876295110656,long,$twtr,0.488,0.9985287189483643
719699054645612544,bottom losses,$baba,-0.473,-0.6587575674057007
21048631,ure wish bad news came out just a few days earlier,$c,-0.221,-0.5245272517204285
708396324710785024,,$goog,0.0,0.6807000637054443
719609967565803520,"$wmt, 13%",$wmt,0.382,0.9881068468093872
19905012,added,$shld,0.274,0.9914836883544922
8559122,mkt fell on debt downgrade,$spy,-0.159,-0.8477210998535156
5514207,$fcx +3.53%,$fcx,0.339,0.9448786377906799
7957239,been very frustrating,$bwld,-0.136,-0.3058852255344391
719600292204048384,thanks for the short,$ulta,-0.264,-0.7379605174064636
38272763,need to break $4 again,$neon,0.132,0.9828131794929504
710232348738985984,fed cuts rates forecast,$aapl,0.449,0.9986864328384399
39047349,stochastic overbought,$afsi,-0.516,-0.8517324328422546
6213661,very tight price,$rden,0.0,-0.13629546761512756
710594321481801728,#oversold,$srpt,0.406,0.9917172789573669
711251272322527232,a great step for #china to let $fb in,$fb,0.417,0.9871761798858643
27109636,new squeeze plays,$swks,-0.339,-0.34297505021095276
29352447,$crm seems a little to high also,$crm,-0.344,-0.23223716020584106
719849703106551808,pie in the sky,$adbe,0.365,0.9996182322502136
29695868,moved upper bollinger band,$rtn,0.498,0.9999872446060181
719614954500857856,highest call to put ratio,$stld,0.348,0.9999328851699829
719572301356916736,offers will take place until next week,$yhoo,0.409,0.998891294002533
12644313,currently it is the shorts rejoicing,$amrn,-0.54,-0.6298669576644897
25333030,breaking out when the market pulls back,$kep,0.413,0.9870837330818176
709745040826966016,airlines battle for cuba routes $aal $luv $save $jblu,$aal,0.092,0.9999948143959045
22409313,buy the dip',$imuc,0.38,0.929007351398468
719507659741872128,$mdxg,$mdxg,-0.361,-0.3743946850299835
35257107,blackberry messenger is second only to facebook in user loyalty,$fb,0.158,0.9999925494194031
709715397608660992,headed to all time highs,$isrg,0.407,0.9701674580574036
719533349430300672,your shit is broke,$pypl,-0.348,-0.07949657738208771
719549134114549760,buy,$tsla,0.458,0.9298597574234009
719628059280818176,weak open and it goes r/g within first 30 mins,$amzn,-0.229,-0.17133143544197083
29835869,down $2.84 premarket,$bobe,-0.512,0.03690551593899727
710236272896430080,guess who sold off about $800 million in $mdlz,$mdlz,-0.428,-0.43795886635780334
39047253,buying on weakness,$nugt,0.511,0.9514105916023254
719597174946992128,shareholders welcome marriott-starwood deal,$mar,0.322,0.9998838305473328
719504049087717376,peachy prospects,$aapl,0.339,0.9982947707176208
719489192078610432,"another sell rating, sell rating",$axp,-0.513,-0.6186609864234924
719535506980265984,nice day rally!,$googl,0.529,0.997545063495636
719535506980265984,nice day rally!,$mcd,0.529,0.997545063495636
32427089,quality stocks with high cash returns,$sfun,0.274,0.999920129776001
13028004,led light bulb prices rise in japan,$cree,0.054,0.9999982714653015
719593062406598656,closed buy,$nflx,0.466,0.9989072680473328
7830634,highest down volume in last 10 days,$aapl,-0.31,-0.048981547355651855
719558697362411520,with $ibb back over support,$gild,0.285,0.5231875777244568
719529083915407360,long into earnings,$amzn,0.484,0.9979053139686584
719579663258021888,considering yahoo bid,$yhoo,0.288,0.9999155402183533
6908313,"after weeks of steady gains,advances in mkt breadth slowe",$qqq,-0.146,-0.3650614619255066
5389922,i will buy aggressively if pulls back,$celg,0.386,0.9996697306632996
719535506980265984,nice day rally!,$xom,0.529,0.997545063495636
14646229,gets 26 patents and goes down,$amrn,-0.373,-0.5011560916900635
39047253,buying on weakness,$gdx,0.511,0.9514105916023254
13028004,led light bulb prices rise in japan,$leds,0.054,0.9999982714653015
31112742,"is a later riser,",$lci,0.203,0.9967331290245056
28243743,could that have been a strategy to exit shorts before the big pop?,$nq,0.316,0.9949367046356201
711905971312807936,piper upgrades symantec on improving renewal rates and enterprise growth,$symc,0.525,0.9999992251396179
22758333,look for strong solar rebound today!,$scty,0.304,0.999971866607666
708407232690462720,i think the dnf crew can get this $nflx short into the next 30 days heading into earnings,$nflx,-0.308,-0.7651301026344299
719890047135281152,red $aapl dragging down $qqq,$aapl,-0.5,-0.3184691071510315
719661137411747840,cuts outlook down,$intc,-0.236,-0.4814821481704712
711909827648299008,weakness continues again.,$dish,-0.41,0.14436139166355133
719551394798268416,watchlist top stocks,$xrt,0.342,0.9996730089187622
10462838,long,$spy,0.428,0.9985287189483643
719518460284432384,joint bid for yahoo's internet assets,$yhoo,0.228,0.9999910593032837
13877899,patience pays off,$arna,0.272,0.9910014867782593
719619301754273792,bad governance,$yhoo,-0.331,-0.48799389600753784
719699054645612544,bottom losses,$jd,-0.756,-0.6587575674057007
8582567,sales numbers still holding up so well,$sks,0.315,0.9931986331939697
21825008,i just feel the people who are buying are the same ones with their finger on the sell button,$spy,-0.054,-0.6871786713600159
9878433,gap filled,$aapl,0.226,0.9962893128395081
5901252,debt crisis entered a dangerous new phase,$bund,-0.331,-0.6830301880836487
12044101,just about to break out to new highs,$tyc,0.469,0.9996898770332336
9694450,next resist is 64.40's,$bbby,0.201,0.9804506897926331
709471541038342144,,$fb,0.0,0.6807000637054443
12431690,looks really toppy right here.,$gild,-0.191,-0.542293906211853
39048523,this will pop after the holiday,$bioc,0.555,0.999009370803833
37281790,breakup will cost billions,$hpq,-0.397,-0.5625026226043701
719569972574470144,news breaks first and fastest on twitter $twtr,$twtr,0.364,0.9945530295372009
709741154393133056,overbought,$vz,-0.296,-0.7324338555335999
33922154,continues to consolidate above previous break out area.,$luv,0.375,0.9946668148040771
6783339,good to load up be confident,$ibb,0.281,0.9992743730545044
5704829,long,$paas,0.394,0.9985287189483643
719536774821867520,buy call!,$aapl,0.095,0.9991660714149475
5806487,companies shld be worried about icloud,$sfly,-0.329,-0.7604907155036926
7604860,$spy -0.05%,$spy,0.028,0.9873856902122498
11204903,but decent supt here-expect some upside,$agq,0.302,0.9999650716781616
719514330182459392,monday sold,$bdms,-0.37,-0.7223659157752991
709330857732018176,"sector has been taking a beating recently, could be positive here",$tfm,0.361,0.999974250793457
719878087190523904,"at 11x earnings, $aapl is a steal",$aapl,0.561,0.9889940619468689
7156920,multi top on $mcd,$mcd,-0.474,-0.3565695285797119
29932186,us adds 321k jobs in november,$nugt,0.243,0.9999783635139465
719528324616159232,why is $fb falling?,$fb,-0.304,-0.43286147713661194
709418142645137408,calls for nice gains,$tsla,0.396,0.9999109506607056
710186737654321152,someone bought lots of calls mon,$nvda,0.444,0.9999861717224121
